                   Repo map: G:/CODEX/New Manga (874 files)
┌───────┬──────────┬───────────────────────────────────┬────────────┬─────────┐
│     # │    Score │ Path                              │ Lang       │   Lines │
├───────┼──────────┼───────────────────────────────────┼────────────┼─────────┤
│     1 │    1.000 │ src/domain/regions/entities.py    │ python     │     328 │
│     2 │    0.822 │ src/domain/books/entities.py      │ python     │     181 │
│     3 │    0.687 │ src/ports/providers/errors.py     │ python     │     295 │
│     4 │    0.618 │ src/domain/tasks/models.py        │ python     │     461 │
│     5 │    0.492 │ src/domain/pages/entities.py      │ python     │      58 │
│     6 │    0.241 │ src/ports/repositories/storage.py │ python     │      53 │
│     7 │    0.240 │ src/application/importing/images… │ python     │     100 │
│     8 │    0.239 │ src/domain/constraints/entities.… │ python     │     265 │
│     9 │    0.196 │ src/infrastructure/imaging/strea… │ python     │     329 │
│    10 │    0.183 │ src/infrastructure/filesystem/ma… │ python     │     181 │
│    11 │    0.177 │ src/application/maintenance/port… │ python     │     104 │
│    12 │    0.170 │ src/infrastructure/imaging/webto… │ python     │     452 │
│    13 │    0.164 │ src/ports/repositories/artifacts… │ python     │     161 │
│    14 │    0.163 │ src/ports/rendering/direction.py  │ python     │      17 │
│    15 │    0.161 │ src/ports/network/transport.py    │ python     │     126 │
│    16 │    0.159 │ src/ports/repositories/database.… │ python     │      60 │
│    17 │    0.152 │ src/application/export/__init__.… │ python     │      46 │
│    18 │    0.145 │ src/application/translation/pipe… │ python     │      64 │
│    19 │    0.141 │ src/infrastructure/sqlite/schema… │ python     │     429 │
│    20 │    0.135 │ src/bootstrap/app.py              │ python     │    1125 │
│    21 │    0.135 │ src/ports/rendering/ports.py      │ python     │     172 │
│    22 │    0.125 │ src/infrastructure/sqlite/connec… │ python     │     374 │
│    23 │    0.124 │ src/application/export/ports.py   │ python     │      85 │
│    24 │    0.122 │ src/ports/network/profiles.py     │ python     │     120 │
│    25 │    0.119 │ src/ports/inpaint/ports.py        │ python     │     227 │
│    26 │    0.116 │ src/application/reading/ports.py  │ python     │     103 │
│    27 │    0.112 │ src/application/settings/errors.… │ python     │      29 │
│    28 │    0.111 │ src/infrastructure/importing.py   │ python     │     399 │
│    29 │    0.109 │ src/ui/viewmodels/reader/viewmod… │ python     │     486 │
│    30 │    0.108 │ src/infrastructure/sqlite/migrat… │ python     │     168 │
│    31 │    0.100 │ src/ports/providers/profiles.py   │ python     │      90 │
│    32 │    0.100 │ src/infrastructure/filesystem/in… │ python     │      24 │
│    33 │    0.091 │ src/application/tasks/service.py  │ python     │    1071 │
│    34 │    0.089 │ src/ports/providers/credentials.… │ python     │      97 │
│    35 │    0.088 │ src/application/maintenance/tras… │ python     │     354 │
│    36 │    0.088 │ src/application/navigation/servi… │ python     │     141 │
│    37 │    0.088 │ src/application/importing/docume… │ python     │      60 │
│    38 │    0.088 │ src/application/translation/know… │ python     │     298 │
│    39 │    0.087 │ src/application/reading/service.… │ python     │     441 │
│    40 │    0.087 │ src/application/settings/models.… │ python     │      61 │
│    41 │    0.087 │ src/application/export/service.py │ python     │     571 │
│    42 │    0.087 │ src/ports/detection/ports.py      │ python     │     137 │
│    43 │    0.086 │ src/ui/models/tasks/projection.py │ python     │     337 │
│    44 │    0.084 │ src/application/tasks/store.py    │ python     │     359 │
│    45 │    0.079 │ src/ui/viewmodels/export/viewmod… │ python     │     419 │
│    46 │    0.077 │ src/ui/viewmodels/workbench/run_… │ python     │     211 │
│    47 │    0.077 │ src/application/library/errors.py │ python     │      32 │
│    48 │    0.077 │ src/application/library/service.… │ python     │     235 │
│    49 │    0.076 │ src/application/translation/cont… │ python     │     354 │
│    50 │    0.074 │ src/infrastructure/providers/det… │ python     │     406 │
└───────┴──────────┴───────────────────────────────────┴────────────┴─────────┘
Scores are PageRank over the real import graph, normalized to the top file.
Feed `repowiki map --format json` to an agent for a prompt-ready reading order.
